dt,Date,timezone,Guinea Location,lat,lon,temp,dew_point,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,wind_gust,rain_1h,rain_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon
1785974400,2026-08-06 00:00:00 +0000 UTC,0,Siguiri,11.414811,-9.17883,298.29,296.72,299.24,298.12,298.42,1015,91,2.04,313,,0.15,,72,500,Rain,light rain,10n
1785978000,2026-08-06 01:00:00 +0000 UTC,0,Siguiri,11.414811,-9.17883,298.36,296.78,299.31,298.24,298.52,1014,91,1.67,305,,0.14,,38,500,Rain,light rain,10n
1785981600,2026-08-06 02:00:00 +0000 UTC,0,Siguiri,11.414811,-9.17883,298.15,296.94,299.13,298.01,298.31,1013,93,1.41,293,,0.33,,24,500,Rain,light rain,10n
1785985200,2026-08-06 03:00:00 +0000 UTC,0,Siguiri,11.414811,-9.17883,298.03,297,299.03,297.85,298.17,1012,94,1.36,283,,,,21,801,Clouds,few clouds,02n
1785988800,2026-08-06 04:00:00 +0000 UTC,0,Siguiri,11.414811,-9.17883,297.74,296.89,298.74,297.6,297.88,1013,95,1.3,260,,,,24,801,Clouds,few clouds,02n
1785992400,2026-08-06 05:00:00 +0000 UTC,0,Siguiri,11.414811,-9.17883,297.36,296.85,298.37,297.23,297.54,1013,97,1.32,233,,,,32,802,Clouds,scattered clouds,03n
1785996000,2026-08-06 06:00:00 +0000 UTC,0,Siguiri,11.414811,-9.17883,297.19,296.85,298.21,297.08,297.39,1013,98,1.52,227,,,,27,802,Clouds,scattered clouds,03n
1785999600,2026-08-06 07:00:00 +0000 UTC,0,Siguiri,11.414811,-9.17883,297.39,296.88,298.4,297.22,297.53,1013,97,2.08,225,,,,16,801,Clouds,few clouds,02d
1786003200,2026-08-06 08:00:00 +0000 UTC,0,Siguiri,11.414811,-9.17883,298.91,296.96,299.87,298.64,299.21,1014,89,1.81,232,,,,8,800,Clear,sky is clear,01d
1786006800,2026-08-06 09:00:00 +0000 UTC,0,Siguiri,11.414811,-9.17883,299.85,296.72,302.47,299.56,300.32,1014,83,1.68,248,,,,17,801,Clouds,few clouds,02d
1786010400,2026-08-06 10:00:00 +0000 UTC,0,Siguiri,11.414811,-9.17883,301.25,296.62,304.88,300.98,301.81,1014,76,1.4,261,,0.13,,41,500,Rain,light rain,10d
1786014000,2026-08-06 11:00:00 +0000 UTC,0,Siguiri,11.414811,-9.17883,301.62,296.53,305.4,301.26,302.22,1014,74,0.53,226,,0.29,,38,500,Rain,light rain,10d
1786017600,2026-08-06 12:00:00 +0000 UTC,0,Siguiri,11.414811,-9.17883,302.6,297.48,307.76,302.29,303.27,1014,74,0.91,183,,,,29,802,Clouds,scattered clouds,03d
1786021200,2026-08-06 13:00:00 +0000 UTC,0,Siguiri,11.414811,-9.17883,302.76,297.17,307.7,302.38,303.54,1013,72,1.2,183,,,,33,802,Clouds,scattered clouds,03d
1786024800,2026-08-06 14:00:00 +0000 UTC,0,Siguiri,11.414811,-9.17883,303.75,297.65,309.69,303.34,304.52,1012,70,1.02,178,,,,20,801,Clouds,few clouds,02d
1786028400,2026-08-06 15:00:00 +0000 UTC,0,Siguiri,11.414811,-9.17883,304.32,297.95,310.9,304.09,304.94,1011,69,0.76,171,,,,23,801,Clouds,few clouds,02d
1786032000,2026-08-06 16:00:00 +0000 UTC,0,Siguiri,11.414811,-9.17883,303.54,296.72,308.38,303.08,304.19,1010,67,0.52,128,,,,44,802,Clouds,scattered clouds,03d
1786035600,2026-08-06 17:00:00 +0000 UTC,0,Siguiri,11.414811,-9.17883,303.83,295.98,308.05,303.31,304.37,1010,63,1.16,86,,,,75,803,Clouds,broken clouds,04d
1786039200,2026-08-06 18:00:00 +0000 UTC,0,Siguiri,11.414811,-9.17883,303.09,296.05,307.12,302.71,303.57,1011,66,1.99,75,,0.15,,99,500,Rain,light rain,10d
1786042800,2026-08-06 19:00:00 +0000 UTC,0,Siguiri,11.414811,-9.17883,301.78,296.23,305.42,301.48,302.11,1012,72,2.65,90,,3.03,,100,501,Rain,moderate rain,10d
1786046400,2026-08-06 20:00:00 +0000 UTC,0,Siguiri,11.414811,-9.17883,299,295.69,299.78,298.89,299.1,1013,82,1.57,80,,0.61,,100,500,Rain,light rain,10n
1786050000,2026-08-06 21:00:00 +0000 UTC,0,Siguiri,11.414811,-9.17883,298.71,296,299.54,298.63,298.82,1014,85,0.96,137,,,,100,804,Clouds,overcast clouds,04n
1786053600,2026-08-06 22:00:00 +0000 UTC,0,Siguiri,11.414811,-9.17883,298.44,296.68,299.37,298.15,298.67,1015,90,1.02,228,,1.6,,99,501,Rain,moderate rain,10n
1786057200,2026-08-06 23:00:00 +0000 UTC,0,Siguiri,11.414811,-9.17883,297.91,297.05,298.92,297.49,298.16,1016,95,1.25,243,,4.19,,100,502,Rain,heavy intensity rain,10n
1786060800,2026-08-07 00:00:00 +0000 UTC,0,Siguiri,11.414811,-9.17883,297.34,296.66,298.32,297.06,297.57,1015,96,1.23,232,,2.86,,99,501,Rain,moderate rain,10n
1786064400,2026-08-07 01:00:00 +0000 UTC,0,Siguiri,11.414811,-9.17883,297.19,296.68,298.18,297.04,297.4,1014,97,1.54,218,,2.01,,98,501,Rain,moderate rain,10n
1786068000,2026-08-07 02:00:00 +0000 UTC,0,Siguiri,11.414811,-9.17883,296.84,296.5,297.82,296.73,297.11,1013,98,1.78,215,,0.15,,91,500,Rain,light rain,10n
1786071600,2026-08-07 03:00:00 +0000 UTC,0,Siguiri,11.414811,-9.17883,296.93,296.42,297.9,296.78,297.2,1013,97,1.94,221,,,,92,804,Clouds,overcast clouds,04n
