dt,Date,timezone,location,lat,lon,temp,dew_point,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,wind_gust,clouds_all,weather_id,weather_main,weather_description,weather_icon
1785974400,2026-08-06 00:00:00 +0000 UTC,3600,UCL East - One Pool Street,51.538265,-0.009753,290.49,283.39,289.92,289.14,290.94,1019,63,3.13,231,4.02,10,800,Clear,sky is clear,01n
1785978000,2026-08-06 01:00:00 +0000 UTC,3600,UCL East - One Pool Street,51.538265,-0.009753,289.62,283.26,289.05,288.02,289.83,1019,66,0.89,313,1.79,5,800,Clear,sky is clear,01n
1785981600,2026-08-06 02:00:00 +0000 UTC,3600,UCL East - One Pool Street,51.538265,-0.009753,289.01,283.12,288.43,287.47,289.27,1020,68,2.68,186,3.58,2,800,Clear,sky is clear,01n
1785985200,2026-08-06 03:00:00 +0000 UTC,3600,UCL East - One Pool Street,51.538265,-0.009753,288.5,283.49,287.97,286.91,288.89,1020,72,1.34,198,1.79,6,800,Clear,sky is clear,01n
1785988800,2026-08-06 04:00:00 +0000 UTC,3600,UCL East - One Pool Street,51.538265,-0.009753,288.32,283.1,287.75,285.8,288.72,1020,71,0.89,201,1.79,6,800,Clear,sky is clear,01n
1785992400,2026-08-06 05:00:00 +0000 UTC,3600,UCL East - One Pool Street,51.538265,-0.009753,287.76,282.98,287.18,285.25,288.16,1021,73,0.45,328,2.24,3,800,Clear,sky is clear,01d
1785996000,2026-08-06 06:00:00 +0000 UTC,3600,UCL East - One Pool Street,51.538265,-0.009753,288.01,283.22,287.46,286.91,288.16,1021,73,0.45,327,3.13,0,800,Clear,sky is clear,01d
1785999600,2026-08-06 07:00:00 +0000 UTC,3600,UCL East - One Pool Street,51.538265,-0.009753,289.29,283.39,288.74,288.58,289.44,1022,68,1.34,340,4.47,0,800,Clear,sky is clear,01d
1786003200,2026-08-06 08:00:00 +0000 UTC,3600,UCL East - One Pool Street,51.538265,-0.009753,290.56,282.97,289.95,290.38,291.36,1022,61,2.24,257,3.13,4,800,Clear,sky is clear,01d
1786006800,2026-08-06 09:00:00 +0000 UTC,3600,UCL East - One Pool Street,51.538265,-0.009753,292.21,281.85,291.5,291.62,293.02,1022,51,1.34,329,5.36,13,801,Clouds,few clouds,02d
1786010400,2026-08-06 10:00:00 +0000 UTC,3600,UCL East - One Pool Street,51.538265,-0.009753,292.57,281.29,291.82,291.91,293.29,1023,48,1.34,301,7.15,61,803,Clouds,broken clouds,04d
1786014000,2026-08-06 11:00:00 +0000 UTC,3600,UCL East - One Pool Street,51.538265,-0.009753,293.36,280.73,292.59,292.77,293.85,1023,44,5.36,204,5.81,67,803,Clouds,broken clouds,04d
1786017600,2026-08-06 12:00:00 +0000 UTC,3600,UCL East - One Pool Street,51.538265,-0.009753,293.89,280.87,293.14,293.33,294.4,1023,43,3.13,264,4.47,92,804,Clouds,overcast clouds,04d
1786021200,2026-08-06 13:00:00 +0000 UTC,3600,UCL East - One Pool Street,51.538265,-0.009753,294.78,280.98,294.07,293.89,295.38,1023,41,2.24,326,3.13,97,804,Clouds,overcast clouds,04d
1786024800,2026-08-06 14:00:00 +0000 UTC,3600,UCL East - One Pool Street,51.538265,-0.009753,295.58,280.58,294.87,294.69,296.2,1023,38,2.24,282,3.58,91,804,Clouds,overcast clouds,04d
